,index,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0_x,datetime_heat,number,spatial_ref,t2m,d2m,rh,thi_heat,adm2,adm1,day,month,year,location_x,datetime_ord,pct,level_0,heatwave,heat_ID,Heat Wave Duration_x,control_day,day_of_week,num_iters,diff,Unnamed: 0_y,country_region_code,country_region,metro_area,iso_3166_2_code,census_fips_code,place_id,date_heat,retail_rec_heat,grocery_pharm_heat,parks_heat,transit_heat,workplaces_heat,residential_heat,location_y,date_control,retail_rec_control,grocery_pharm_control,parks_control,transit_control,workplaces_control,residential_control,location,retail_rec_difference,grocery_pharm_difference,parks_difference,transit_difference,workplaces_difference,residential_difference,weekend,datetime_control,thi_control,temp_diff,datetime,Heat Wave Duration_y,dur_ranking,stage,stage_frac,heatwave_dur,mean_elev,coast,HDI_dec,popden_dec,over60_dec,elev_1500m,time_x,rain_standard_control,time_y,rain_standard_heat
5179,5193,54210,639314,639314,2022-08-03,0.0,0.0,29.533787,12.695653,62.403366,28.25914643768575,Seydisehir,Konya,3,7,2022,"Seydisehir, Konya",738370,0.9254901960784314,62.0,1.0,5cb99cb9-89a9-468f-be5a-169ea7707541,,2022-07-20,2,test,14 days,107741,TR,Turkey,,,,ChIJ-xxP3tXC2hQRQmwe3S4AvxM,2022-08-03,,,,,8.0,-3.0,"Seydisehir, Konya",2022-07-20,,,,,0.0,-4.0,"Seydisehir, Konya",,,,,8.0,1.0,0,2022-07-20,23.70815179286863,4.55099464481712,2022-08-03,10.0,0.8673867689615721,7.0,0.7,True,1427.752688172043,0,10,6,6,0,2022-07-20,14.285714285714285,2022-08-03,46.75324675324675
5180,5194,54214,639333,639333,2022-08-22,0.0,0.0,29.36934,14.062765,84.776054,27.91642588427947,Seydisehir,Konya,22,8,2022,"Seydisehir, Konya",738389,0.9019607843137256,66.0,1.0,4cafdd89-c6ae-40b9-9c18-e30221260aff,2.0,2022-08-15,0,test,7 days,107760,TR,Turkey,,,,ChIJ-xxP3tXC2hQRQmwe3S4AvxM,2022-08-22,,,,,12.0,0.0,"Seydisehir, Konya",2022-08-15,,,,,9.0,-1.0,"Seydisehir, Konya",,,,,3.0,1.0,0,2022-08-15,26.042869600475377,1.873556283804092,2022-08-22,2.0,0.07089979137223232,1.0,0.5,False,1427.752688172043,0,10,6,6,0,2022-08-15,37.01298701298701,2022-08-22,55.84415584415584
5181,5195,54277,640082,640082,2022-07-27,0.0,0.0,31.98808,10.133035,51.96065,30.222033061678484,Seydikemer,Mugla,27,7,2022,"Seydikemer, Mugla",738363,0.9398692810457516,61.0,1.0,dd084c07-a34a-4d02-a9d7-7ac18e9b8304,10.0,2022-07-20,2,test,7 days,121752,TR,Turkey,,,,ChIJ38WYOhStwRQRW7de4SceB7c,2022-07-27,,,,,23.0,,"Seydikemer, Mugla",2022-07-20,,,,,19.0,,"Seydikemer, Mugla",,,,,4.0,,0,2022-07-20,28.501272171262748,1.720760890415736,2022-07-27,10.0,0.8673867689615721,1.0,0.1,True,1113.1583229036296,1,7,4,5,0,2022-07-20,9.740259740259742,2022-07-27,13.636363636363635
5182,5196,54284,640089,640089,2022-08-03,0.0,0.0,30.65678,17.540604,75.45006,30.126783946203847,Seydikemer,Mugla,3,7,2022,"Seydikemer, Mugla",738370,0.9320261437908496,68.0,1.0,dd084c07-a34a-4d02-a9d7-7ac18e9b8304,,2022-07-20,2,test,14 days,121759,TR,Turkey,,,,ChIJ38WYOhStwRQRW7de4SceB7c,2022-08-03,,,,,32.0,,"Seydikemer, Mugla",2022-07-20,,,,,19.0,,"Seydikemer, Mugla",,,,,13.0,,0,2022-07-20,28.501272171262748,1.6255117749410992,2022-08-03,10.0,0.8673867689615721,8.0,0.8,True,1113.1583229036296,1,7,4,5,0,2022-07-20,9.740259740259742,2022-08-03,63.63636363636363
5183,5197,54278,640083,640083,2022-07-28,0.0,0.0,32.056263,11.65438,55.270393,30.5230373806424,Seydikemer,Mugla,28,7,2022,"Seydikemer, Mugla",738364,0.9594771241830066,62.0,1.0,dd084c07-a34a-4d02-a9d7-7ac18e9b8304,,2022-07-21,3,test,7 days,121753,TR,Turkey,,,,ChIJ38WYOhStwRQRW7de4SceB7c,2022-07-28,,,,,27.0,,"Seydikemer, Mugla",2022-07-21,,,,,18.0,,"Seydikemer, Mugla",,,,,9.0,,0,2022-07-21,28.419101775638683,2.1039356050037163,2022-07-28,10.0,0.8673867689615721,2.0,0.2,True,1113.1583229036296,1,7,4,5,0,2022-07-21,28.57142857142857,2022-07-28,27.27272727272727
5184,5198,54285,640090,640090,2022-08-04,0.0,0.0,30.725481,17.566002,78.967575,30.35944632878383,Seydikemer,Mugla,4,7,2022,"Seydikemer, Mugla",738371,0.9424836601307188,69.0,1.0,dd084c07-a34a-4d02-a9d7-7ac18e9b8304,,2022-07-21,3,test,14 days,121760,TR,Turkey,,,,ChIJ38WYOhStwRQRW7de4SceB7c,2022-08-04,,,,,27.0,,"Seydikemer, Mugla",2022-07-21,,,,,18.0,,"Seydikemer, Mugla",,,,,9.0,,0,2022-07-21,28.419101775638683,1.9403445531451453,2022-08-04,10.0,0.8673867689615721,9.0,0.9,True,1113.1583229036296,1,7,4,5,0,2022-07-21,28.57142857142857,2022-08-04,60.3896103896104
5185,5199,54280,640085,640085,2022-07-30,0.0,0.0,32.036915,13.657651,60.06665,30.83745950365827,Seydikemer,Mugla,30,7,2022,"Seydikemer, Mugla",738366,0.9686274509803922,64.0,1.0,dd084c07-a34a-4d02-a9d7-7ac18e9b8304,,2022-07-16,5,test,14 days,121755,TR,Turkey,,,,ChIJ38WYOhStwRQRW7de4SceB7c,2022-07-30,,,253.0,,38.0,,"Seydikemer, Mugla",2022-07-16,,,276.0,,24.0,,"Seydikemer, Mugla",,,-23.0,,14.0,,1,2022-07-16,28.91837928408672,1.9190802195715513,2022-07-30,10.0,0.8673867689615721,4.0,0.4,True,1113.1583229036296,1,7,4,5,0,2022-07-16,10.38961038961039,2022-07-30,29.22077922077922
5186,5200,54282,640087,640087,2022-08-01,0.0,0.0,32.03434,15.916845,59.756786,30.749142722478023,Seydikemer,Mugla,1,7,2022,"Seydikemer, Mugla",738368,0.9660130718954248,66.0,1.0,dd084c07-a34a-4d02-a9d7-7ac18e9b8304,,2022-07-11,0,test,21 days,121757,TR,Turkey,,,,ChIJ38WYOhStwRQRW7de4SceB7c,2022-08-01,,,,,15.0,,"Seydikemer, Mugla",2022-07-11,,,,,-44.0,,"Seydikemer, Mugla",,,,,59.0,,0,2022-07-11,27.17811221168159,3.571030510796433,2022-08-01,10.0,0.8673867689615721,6.0,0.6,True,1113.1583229036296,1,7,4,5,0,2022-07-11,40.909090909090914,2022-08-01,48.701298701298704
5187,5201,54283,640088,640088,2022-08-02,0.0,0.0,30.752176,17.005728,71.65873,30.16221957736549,Seydikemer,Mugla,2,7,2022,"Seydikemer, Mugla",738369,0.9372549019607844,67.0,1.0,dd084c07-a34a-4d02-a9d7-7ac18e9b8304,,2022-07-19,1,test,14 days,121758,TR,Turkey,,,,ChIJ38WYOhStwRQRW7de4SceB7c,2022-08-02,,,,,17.0,,"Seydikemer, Mugla",2022-07-19,,,,,13.0,,"Seydikemer, Mugla",,,,,4.0,,0,2022-07-19,28.382259671650274,1.7799599057152165,2022-08-02,10.0,0.8673867689615721,7.0,0.7,True,1113.1583229036296,1,7,4,5,0,2022-07-19,14.935064935064934,2022-08-02,58.44155844155844
5188,5202,54404,641633,641633,2022-07-28,0.0,0.0,36.017513,24.69975,89.8956,39.17124147768377,Seyhan,Adana,28,7,2022,"Seyhan, Adana",738364,0.94640522875817,58.0,1.0,3453adcf-db77-4530-bc42-69659c5ae9ef,2.0,2022-07-21,3,test,7 days,2224,TR,Turkey,,,,ChIJIRGfWR1-KBURVb2kAH908LQ,2022-07-28,2.0,52.0,93.0,13.0,4.0,0.0,"Seyhan, Adana",2022-07-21,2.0,50.0,83.0,18.0,5.0,0.0,"Seyhan, Adana",0.0,2.0,10.0,-5.0,-1.0,0.0,0,2022-07-21,36.83065532166284,2.340586156020933,2022-07-28,2.0,0.07089979137223232,1.0,0.5,False,19.70701754385965,0,4,10,3,0,2022-07-21,44.8051948051948,2022-07-28,27.27272727272727
